pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_AL_2007_T4_Plate_Normal_3,Random_Forest_AL_2007_T4_Plate_Normal_3
-1.148045,167.174985,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999570518,0.0,0.0,0.3225097500000001,-4.82226565,-0.3969729,-0.6129273,0.0,0.0,0.0,0.0,0.0,,
-1.148045,167.05831834999998,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,3.552710000644631e-11,0.0,0.0,0.3222655500000001,-4.78442375,-0.39721705,-0.6098511,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.94165164999998,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999925789,0.0,0.0,0.3222655000000001,-4.79980465,-0.3974612,-0.6044678,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.824985,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,0.0001249999925789,0.0,0.0,0.3227538000000001,-4.8422852,-0.39819365,-0.6062622,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.70831835,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,0.0,0.0,0.0,0.3229979500000001,-4.8413086,-0.39868195,-0.59703365,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.59165165,392.77999,22800.0,0.0,-5.833335000000517,0.0,0.0,-0.0001250000281061,0.0,0.0,0.3222656000000001,-4.808837799999999,-0.39917025,-0.58267815,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.474985,392.77999,22800.0,0.0,-5.833332499999244,0.0,0.0,0.0001250000636332,0.0,0.0,0.32226565,-4.84912095,-0.3994144,-0.5875488,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.35831835,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,-3.5527150015271514e-11,0.0,0.0,0.3212890500000001,-4.8466796,-0.39917025,-0.6065186,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.24165165,392.77999,22800.0,0.0,-5.833335000000517,0.0,0.0,-0.0001250000281061,0.0,0.0,0.3200683000000001,-4.8017578,-0.39941435,-0.6149781000000001,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.124985,392.77999,22800.0,0.0,-5.833332499999244,0.0,0.0,0.0001250000636332,0.0,0.0,0.3198241000000001,-4.841064449999999,-0.3996585,-0.6075440000000001,0.0,0.0,0.0,0.0,0.0,,
-1.148045,166.00831835000002,392.77999,22800.0,0.0,-5.833332499999244,0.0,0.0,0.0,0.0,0.0,0.3215330500000001,-4.838134849999999,-0.3994144,-0.6078003000000001,0.0,0.0,0.0,0.0,0.0,,
-1.148045,165.89165165000003,392.77999,22800.0,0.0,-5.833335000000517,0.0,0.0,-0.0001250000636332,0.0,0.0,0.3217772000000001,-4.79931645,-0.3994144,-0.60523675,0.0,0.0,0.0,0.0,0.0,,
-1.148045,165.77498500000002,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999925789,0.0,0.0,0.3217773000000001,-4.8112792,-0.3994144,-0.5880614,0.0,0.0,0.0,0.0,0.0,,
-1.148045,165.65831835,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,3.552714998816646e-11,0.0,0.0,0.3205567000000001,-4.8005371,-0.39990265,-0.58319085,0.0,0.0,0.0,0.0,0.0,,
-1.148045,165.54165165,392.77999,22800.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999925789,0.0,0.0,0.3205566500000001,-4.8181152,-0.39990265,-0.5995972,0.0,0.0,0.0,0.0,0.0,,
-1.148045,165.424985,392.77999,22800.0,0.0,-5.833332499999955,0.0,0.0,0.0001249999925789,0.0,0.0,0.3208007500000001,-4.868896400000001,-0.39965855,-0.6136963,0.0,0.0,0.0,0.0,0.0,,
-1.148045,165.30831834999998,392.77999,22800.0,0.0,-5.833332500000665,0.0,0.0,-3.552714998816646e-11,0.0,0.0,0.3215331500000001,-4.86352535,-0.3999027,-0.60985105,0.0,0.0,0.0,0.0,0.0,,
