pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,Neural_Net_AL_2007_T4_Gear_Normal_3,Random_Forest_AL_2007_T4_Gear_Normal_3
-53.648016,209.482,394.263034,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.0001249999570518,0.0,0.3090819999999999,-5.5415039,-0.6525878999999999,-0.5870361,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,394.14636735,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,7.105424999461277e-11,0.0,0.3098143999999999,-5.5424804,-0.6354981,-0.5916503,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,394.02970065,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0001250000281061,0.0,0.3085936999999999,-5.5402831,-0.6425781999999999,-0.60190425,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,393.913034,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,0.0001250000281061,0.0,0.3071289499999999,-5.538330049999999,-0.6633300999999998,-0.5993408499999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,393.79636735,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,0.0,0.0,0.3061524499999999,-5.539795,-0.6567381999999998,-0.6060059,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,393.67970065,22800.0,0.0,0.0,-5.833335000001227,0.0,0.0,-0.0001250000991603,0.0,0.3059082999999999,-5.541259850000001,-0.6457518499999998,-0.6216431,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,393.563034,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.000125000028106,0.0,0.3061524,-5.539794950000001,-0.6411132499999999,-0.6157470999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,393.44636735,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,7.105424999461277e-11,0.0,0.3061523499999999,-5.5390625,-0.6308594499999998,-0.5934447999999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,393.32970065,22800.0,0.0,0.0,-5.833335000001227,0.0,0.0,-0.0001250000991603,0.0,0.3063964999999999,-5.54125975,-0.6257324499999999,-0.5875487500000001,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,393.213034,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,0.0001250000991603,0.0,0.3068847999999999,-5.541748,-0.6340330999999999,-0.5990844000000001,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,393.09636735,22800.0,0.0,0.0,-5.833332499997823,0.0,0.0,7.105430000343797e-11,0.0,0.3061523499999999,-5.539062449999999,-0.6437987999999999,-0.60421145,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.97970065,22800.0,0.0,0.0,-5.833335000001227,0.0,0.0,-0.0001250001702146,0.0,0.3051758499999999,-5.5402831500000005,-0.6423339499999998,-0.6031861000000001,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.863034,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.000125000028106,0.0,0.3061524499999999,-5.5424805,-0.6425779999999999,-0.6149780499999999,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.74636735,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,0.0,0.0,0.3063964999999999,-5.54125985,-0.6369627999999998,-0.62189945,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.62970065,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999570518,0.0,0.3071289499999999,-5.539550800000001,-0.6301268999999998,-0.6049805,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.513034,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,0.000125000028106,0.0,0.30590825,-5.5419921,-0.6459960999999999,-0.58549805,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.39636735,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,-7.105424999461277e-11,0.0,0.3063964999999999,-5.5446776,-0.6625975999999998,-0.59062495,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.27970065,22800.0,0.0,0.0,-5.833334999999806,0.0,0.0,-0.0001249999570518,0.0,0.3059082499999999,-5.5410155,-0.6625975999999998,-0.60139155,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.163034,22800.0,0.0,0.0,-5.833332499999244,0.0,0.0,0.0001250000281061,0.0,0.3054199999999999,-5.53833,-0.6618653499999998,-0.5995972,0.0,0.0,0.0,0.0,0.0,,
-53.648016,209.482,392.04636735,22800.0,0.0,0.0,-5.833332500000665,0.0,0.0,-7.105424999461277e-11,0.0,0.30688485,-5.54052735,-0.6618653999999998,-0.6065186,0.0,0.0,0.0,0.0,0.0,,
