pos_x,pos_y,pos_z,v_sp,v_x,v_y,v_z,a_x,a_y,a_z,a_sp,curr_x,curr_y,curr_z,curr_sp,f_x_sim,f_y_sim,f_z_sim,f_sp_sim,materialremoved_sim,y_ground_truth,Neural_Net_gear,Random_Forest_gear,y_ground_truth.1,Neural_Net_plate,Random_Forest_plate
-19.93632235,230.60829409000002,386.78,22800.0,1.127653999999989,5.7222864999998535,0.0,1.7943750000002372,-0.3438249999945242,0.0,0.0,-0.77148436,-5.96079103,-0.34560546999999986,-1.37540762,217.9426245823824,77.1745252261922,72.1537805430742,231.24252013059177,357.3839999999997,-0.77148436,0.2589710652828216,0.3442910158999999,-0.77148436,-0.6087916493415833,-0.6971245362999999
-19.913096099999997,230.72260776,386.78,22800.0,1.1613124999999869,5.715683499999784,0.0,1.6829249999998908,-0.3301500000034707,0.0,0.0,-0.7763183300000001,-5.95620119,-0.3495117299999998,-1.37448479,218.3965994252535,75.89329801584408,72.1538631843255,231.24267763511466,357.3839999999967,-0.7763183300000001,0.1746856868267059,0.3549848642999999,-0.7763183300000001,-0.6175926923751831,-0.6980937713
-19.88919696,230.83678446,386.78,22800.0,1.1949569999999987,5.708835000000079,0.0,1.6822250000005923,-0.3424249999852691,0.0,0.0,-0.78012695,-5.95678713,-0.35209962999999983,-1.37535638,218.84245000793507,74.60752852917076,72.15390121658037,231.24275011834374,357.4559999999998,-0.78012695,0.0963697284460067,0.3183652338999999,-0.78012695,-0.6275962591171265,-0.6984843947
-19.86455554,230.95080179,386.78,22800.0,1.2320709999999835,5.7008664999997904,0.0,1.8556999999992385,-0.39842500001441294,0.0,0.0,-0.79174803,-5.94907228,-0.3479004099999998,-1.37909905,219.32145470450504,73.18063982743952,72.15383475660698,231.24262346337886,357.57600000000093,-0.79174803,0.0702673122286796,0.3218872044999999,-0.79174803,-0.6380652189254761,-0.7015542165000002
-19.83903461,231.06461829,386.78,22800.0,1.2760464999999854,5.690825000000359,0.0,2.198775000000097,-0.502074999971569,0.0,0.0,-0.80878905,-5.93955079,-0.3467773599999998,-1.37735588,219.86892892570012,71.47775963820567,72.15372462942345,231.2424135946911,357.7679999999993,-0.80878905,0.1289055943489074,0.3230419923999998,-0.80878905,-0.6479932069778442,-0.7031591922
-19.812457300000002,231.17817765,386.78,22800.0,1.328865499999985,5.677967999999964,0.0,2.6409499999999753,-0.6428500000197346,0.0,0.0,-0.82197263,-5.95458985,-0.3512695399999998,-1.37089593,220.49873054114715,69.4164159547568,72.15364423339744,231.2422603818688,357.72000000000116,-0.82197263,0.1392380595207214,0.347413086,-0.82197263,-0.6572418212890625,-0.7029209077
-19.78463964,231.29141550000003,386.78,22800.0,1.3908829999999917,5.661892499999794,0.0,3.100875000000336,-0.8037750000084998,0.0,0.0,-0.83129881,-5.96044921,-0.3520996099999998,-1.37058831,221.20452449719437,66.976317696822,72.15357361035709,231.24212579378656,357.67200000000304,-0.83129881,0.138635516166687,0.347413086,-0.83129881,-0.6668903231620789,-0.7113774485000001
-19.755399230000002,231.40426179000002,386.78,22800.0,1.462020500000012,5.642314500000083,0.0,3.556875000001014,-0.9788999999855719,0.0,0.0,-0.84296872,-5.9494140600000005,-0.3469726599999998,-1.37463863,221.97514588910812,64.15439056435483,72.15350371395316,231.24199259045628,357.7920000000042,-0.84296872,0.1380749642848968,0.347413086,-0.84296872,-0.6774181127548218,-0.7233994181
-19.72455571,231.51664093000005,386.78,22800.0,1.5421759999999907,5.618956999999796,0.0,4.0077749999989365,-1.1678750000143623,0.0,0.0,-0.84765622,-5.93662107,-0.3478515799999998,-1.3758690900000001,222.79919583429546,60.94850369250545,72.15342532738984,231.2418432065836,357.8640000000043,-0.84765622,0.137656033039093,0.347413086,-0.84765622,-0.6892379522323608,-0.7365585949999999
-19.69192508,231.62847063000004,386.78,22800.0,1.631531500000012,5.591485000000063,0.0,4.467775000001062,-1.3735999999866522,0.0,0.0,-0.8430175500000001,-5.93964842,-0.35224611999999983,-1.37458736,223.6689030956342,57.34567779272571,72.15334034436523,231.2416812514528,358.0320000000036,-0.8430175500000001,0.1373141855001449,0.347413086,-0.8430175500000001,-0.701661229133606,-0.7529296833
